git_commit,sequence_length,rows,input_family,dtype,scale,max_absolute_error,max_relative_error,max_row_sum_error,masked_positions_exactly_zero,contains_nan,contains_inf,shape_correct,dtype_correct,device_correct,pass_fail,rtol,atol,gpu_name,compute_capability,timestamp
ca87722a00ebf585cd788c67949e7c0b32dca788,128,256,equal,float32,0.125,0.0,0.0,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.690199+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,128,256,dominant_positive,float32,0.125,0.0,0.0,0.0,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.692323+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,128,256,dominant_negative,float32,0.125,2.9802322387695312e-08,2.719176563914516e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.694528+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,255,510,normal,float32,0.125,1.4901161193847656e-08,2.9731882023043e-07,1.7881393432617188e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.697221+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,255,510,random_x10,float32,0.125,5.960464477539063e-08,2.3474572685699968e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.699586+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,255,510,random_x100,float32,0.125,2.384185791015625e-07,3.451828831657622e-07,2.384185791015625e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.701856+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,255,510,random_x1000,float32,0.125,1.1920928955078125e-07,1.9956033270318585e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.704157+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,255,510,zeros,float32,0.125,0.0,0.0,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.706668+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,255,510,equal,float32,0.125,0.0,0.0,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.709741+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,255,510,dominant_positive,float32,0.125,0.0,0.0,0.0,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.712689+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,255,510,dominant_negative,float32,0.125,1.4901161193847656e-08,3.0414898333219753e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.715542+00:00
