implementation,git_commit,batch,heads,sequence_length,head_dimension,dtype,warmups,iterations,sample_index,latency_us,gpu_name,compute_capability,pytorch_version,cuda_version,timestamp
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,38,184.51200425624847,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,39,186.39999628067017,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,40,222.97599911689758,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,41,187.51999735832214,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,42,184.89600718021393,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,43,185.92000007629395,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,44,186.71999871730804,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,45,206.88000321388245,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,46,218.46400201320648,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,47,205.6639939546585,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
